game_id,score,blinky_kill,inky_kill,playtime
69512486,1110,0,0,54.56
75550114,230,0,1,8.89
29349185,650,1,0,32.28
31400593,1050,0,0,53.12
12160526,900,0,1,38.98
20708208,1460,0,1,84.76
76360725,900,0,1,30.93
69380931,1130,0,1,31.37
37010473,1110,1,0,35.97
58727528,1000,0,0,-1731342743.42
84451214,330,1,0,6.93
16278782,760,1,0,19.44
